wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000
09064-2524,HJ 4172,,1835,2015,24,214,219,6.0,6.8,8.59,9.21,A0V,-2,6,-3,6,V,090621.41-252335.9
09397-4953,SKF 789,,1903,2015,7,27,29,6.8,6.8,10.90,12.50,F8,-28,24,-23,31,V,093941.48-495257.4
11082-1240,KPP 794,,1902,2015,10,170,173,6.2,6.8,11.00,12.80,,35,-26,35,-25,V,110813.92-123930.2
07345-1352,DOO 42,FG,1905,2015,9,108,108,6.6,6.9,9.70,10.50,,-47,18,-23,11,N,073432.35-135258.9
07595-2157,B 2159,,1920,2015,9,302,304,6.7,6.9,8.97,10.42,A3/5IV/V,5,11,6,13,V,075931.81-215717.4
08149+3823,MLB 837,,1933,2015,10,81,88,5.5,6.9,11.00,12.00,,-13,3,,,,081356.55+382249.2
11553-6403,HDS1679,,1925,2015,8,247,244,7.8,6.9,9.42,10.62,A0IV,-7,1,-16,3,,115520.56-640244.2
14443-1655,ARA 78,,1905,2015,7,199,200,6.7,6.9,10.93,13.90,,2,-4,-2,-10,,144414.61-165534.2
07454-4001,KPP 824,,1904,2015,7,40,38,7.2,7.0,10.70,13.10,,-30,34,-32,33,V,074526.25-400036.3
08089+1711,SLE 879,,1900,2015,12,273,271,6.9,7.0,10.80,11.10,,-1,-8,-9,-12,,080851.03+171120.5
12101-4739,COO 135,,1903,2015,13,305,300,7.3,7.0,9.61,10.13,A7V,-32,0,-33,-11,V,121005.85-473850.8
12508+2649,KPP 825,,1901,2015,12,346,341,7.1,7.0,11.00,12.80,G2III,42,11,43,9,V,125045.90+264917.8
14240-6118,COO 169,,1919,2015,11,314,315,7.0,7.0,9.76,10.31,B8/9IV/V,-2,-3,-9,-5,,142359.48-611811.6
06015+1509,DAM1102,,1903,2015,6,140,147,8.2,7.1,9.60,11.80,,-3,-5,-2,-11,,060130.02+150832.3
07108+3722,ALI 578,,1929,2015,8,4,27,8.3,7.1,11.00,12.30,,-9,-35,,,,071043.71+372156.5
07447+0201,BAL1811,,1910,2015,10,354,359,6.8,7.1,10.90,11.50,,-9,-9,-5,-2,,074440.17+020058.5
06424+1027,SMH 25,AB,1910,2015,8,258,236,5.9,7.2,10.30,11.40,,8,-17,-2,-42,R,064225.10+102656.7
06597-0124,BAL 378,,1892,2015,9,140,144,7.5,7.2,10.60,11.20,,-3,-1,-6,-4,,065940.46-012445.8
09497-3659,HJ 4250,,1835,2015,13,73,68,12.0,7.2,10.25,10.68,,-15,5,-20,4,,094944.08-365836.2
09513-5311,COO 93,BC,1892,2015,9,308,309,7.1,7.2,10.52,13.20,B3/7,-6,5,-6,3,,095115.27-531052.2
15057-5406,WFC 162,,1892,2015,9,116,107,6.9,7.2,10.94,10.96,,-9,-7,-2,-4,,150542.26-540603.3
09544-5537,CPO 277,,1923,2015,9,130,123,6.3,7.3,9.76,11.64,A0V,-14,5,-6,3,,095421.47-553728.4
13444-5902,KPP 853,,1894,2015,6,33,39,7.7,7.3,10.50,12.70,,-32,-19,-32,-20,V,134424.51-590151.5
15113-2249,ARA 1805,,1920,2015,6,278,275,7.4,7.3,10.90,12.30,,20,-10,10,-8,,151119.49-224825.2
07131+1433,HJ 3290,AB,1832,2015,8,315,335,3.0,7.4,10.10,11.00,,-5,-29,,,,071305.60+143258.2
07196-5554,CPO 152,,1893,2015,8,64,90,6.8,7.4,10.30,11.40,A2,-6,10,,,,071934.78-555414.9
07202-4411,WFC 53,,1900,2015,9,279,278,7.2,7.4,10.68,11.18,F8V+F8V,-24,28,-32,31,NV,072012.22-441053.7
08059+1113,SLE 325,,1911,2015,7,287,288,7.5,7.4,9.62,11.20,,10,-5,,,,080554.55+113202.2
10355+0406,BAL2842,,1910,2015,8,247,245,6.9,7.4,10.80,11.50,,-15,-14,-29,-21,,103529.09+040613.4
14159+0041,BAL1464,,1909,2015,10,229,229,10.8,7.4,10.80,12.10,,-26,-22,-12,0,,141554.17+004057.0
10326-7208,DAW 196,,1893,2015,8,11,10,7.8,7.5,10.20,11.70,A3,-13,-4,-15,7,,103233.96-720743.2
13017-6940,WFC 132,,1892,2015,8,266,268,6.9,7.5,10.12,11.17,,-5,-4,-22,-3,,130140.42-694029.2
14312+7634,HJ 2738,BC,1906,2015,8,206,210,6.7,7.5,10.56,13.20,,14,-3,,,,143107.83+763354.0
14587-5751,JSP 645,,1894,2015,6,306,301,7.4,7.5,8.58,11.22,M4III,4,-10,,,,145841.16-575104.1
15015-5458,LPO 74,,1894,2015,8,234,227,8.9,7.5,9.65,10.90,B8/9V,-3,-4,-5,-8,,150131.25-545813.6
09301-7106,HJ 4222,,1834,2015,8,329,333,3.0,7.6,10.70,12.30,,-7,4,,,,093010.16-710708.4
12229-2315,COO 285,,1898,2015,12,20,21,7.5,7.6,10.30,11.50,G5,-123,9,-120,16,V,122251.22-231508.8
12427-2518,KPP 921,,1911,2015,7,0,1,7.7,7.6,10.40,11.90,F5/6,-31,-12,-32,-10,V,124243.44-251736.7
13137-5616,HJ 4573,AB,1834,2015,9,57,56,4.0,7.6,10.50,11.50,A0IV/V,-16,-11,-17,0,,131342.29-561541.0
06163+3005,STF 879,AB,1827,2015,20,75,70,3.0,7.7,10.10,11.40,,8,-20,9,-16,W,061618.79+300434.2
08464-2355,ARA 2136,,1922,2015,6,132,127,7.6,7.7,10.76,13.10,,-13,7,-2,3,,084627.69-235507.3
08494-4608,CPO 235,AC,1905,2015,11,358,1,7.8,7.7,10.74,10.44,A,-12,10,-7,20,,084921.60-460837.4
09188-2409,B 2677,,1911,2015,8,69,65,7.7,7.7,10.38,12.00,,-20,7,-13,12,,091846.06-240938.6
08354-2659,B 2660,,1911,2015,6,134,133,7.4,7.8,9.88,12.70,F8,2,44,8,42,,083522.01-265850.5
